"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Корзина","1","0","","0"
"0","","0","Поиск","1","0","","0"
"0","","0","Фильтрация","1","0","","0"
"0","","0","Избранное","1","0","","0"
"0","","0","Карточка товара","1","0","","0"
